species,scientific_name,kingdom,phylum,class,order,family,genus,occurrence_count,image_count,municipalities,iucn_status
Perisama bomplandii,Perisama bomplandii,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Perisama,1,2,,
Delostoma integrifolium,Delostoma integrifolium D.Don,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Delostoma,1,2,,LC
Isognathus swainsoni,"Isognathus swainsoni C.Felder & R.Felder, 1862",Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Isognathus,1,2,,
Passiflora seemannii,Passiflora seemannii Griseb.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,1,2,,
Manduca lucetius,"Manduca perplexa Rothschild & Jordan, 1910",Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca,1,2,,
Cyclopis caecutiens,"Cyclopis caecutiens Hübner, 1821",Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Cyclopis,2,2,,
Philodendron verrucosum,Philodendron verrucosum L.Mathieu ex Schott,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,2,2,,
Pachylia ficus,"Pachylia ficus Linnaeus, 1758",Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Pachylia,2,2,,
Napaea beltiana,"Napaea beltiana (Bates, 1867)",Animalia,Arthropoda,Insecta,Diptera,Ephydridae,Napaea,2,2,,
Acromyrmex aspersus,"Acromyrmex aspersus (Smith, 1858)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Acromyrmex,1,2,,
Strymon mulucha,Strymon mulucha,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Strymon,2,2,,
Dracaena fragrans,Dracaena fragrans (L.) Ker Gawl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Dracaena,2,2,,LC
Dismorphia amphione,"Dismorphia amphione (Cramer, 1779)",Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Dismorphia,2,2,,
Munnozia jussieui,Munnozia jussieui (Cass.) H.Rob. & Brettell,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Munnozia,1,2,,
Coffea arabica,Coffea arabica L.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,2,2,,EN
Lepidoblepharis duolepis,"Lepidoblepharis duolepis Ayala & Castro, 1983",Animalia,Chordata,Squamata,,Sphaerodactylidae,Lepidoblepharis,1,2,,LC
Pouplainiella nigra,"Pouplainiella nigra Cadena-Castañeda & Cardona, 2015",Animalia,Arthropoda,Insecta,Orthoptera,Romaleidae,Pouplainiella,2,2,,
Pseudodebis celia,Pseudodebis celia,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pseudodebis,2,2,,
Mesosemia lamachus,"Mesosemia lamachus Hewitson, 1857",Animalia,,,,,Mesosemia,1,2,,
Heliconius aliphera,"Eueides aliphera (Godart, 1819)",Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius,2,2,,
Schizolobium parahyba,Schizolobium parahyba (Vell.) S.F.Blake,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Schizolobium,1,2,,LC
Epimecis puellaria,Epimecis puellaria (Guenée),Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epimecis,2,2,,
Eresia ithomioides,Eresia ithomioides poecilina,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Eresia,2,2,,
Morpho cypris,Morpho cypris cypris,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Morpho,1,2,,
Eresia eunice,"Eresia eunice (Hübner, 1807)",Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Eresia,1,2,,
Micrathena decorata,"Micrathena decorata Chickering, 1960",Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,2,2,,
Peperomia swartziana,Peperomia swartziana Miq.,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,1,2,,
Guadua angustifolia,Guadua angustifolia Kunth,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Guadua,2,2,,
Pyrisitia nise,"Eurema nise (Cramer, 1775)",Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pyrisitia,2,2,,
Miconia asclepiadea,Miconia asclepiadea Triana,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,1,2,,
Myiopagis viridicata,"Myiopagis viridicata (Vieillot, 1817)",Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiopagis,1,2,,LC
Vernonanthura patens,Vernonanthura patens (Kunth) H.Rob.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Vernonanthura,1,2,,LC
Omophoita aequinoctialis,"Omophoita aequinoctialis (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Omophoita,2,2,,
Hyalenna sulmona,Hyalenna sulmona,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hyalenna,2,2,,
Microvelia albonotata,"Microvelia albonotata Champion, 1898",Animalia,Arthropoda,Insecta,Hemiptera,Veliidae,Microvelia,1,2,,
Pyrrhogyra crameri,Pyrrhogyra crameri Aurivillius,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pyrrhogyra,2,2,,
Saurita diffusa,"Saurita diffusa Schaus, 1911",Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Saurita,2,2,,
Coronidia orithea,"Coronidia orithea Cramer, 1780",Animalia,Arthropoda,Insecta,Lepidoptera,Sematuridae,Coronidia,1,2,,
Scytalopus alvarezlopezi,"Scytalopus alvarezlopezi Stiles, Laverde-R, O & Cadena, 2017",Animalia,Chordata,Aves,Passeriformes,Rhinocryptidae,Scytalopus,2,2,,NT
Iridophanes pulcherrimus,"Iridophanes pulcherrimus (P.L.Sclater, 1853)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Iridophanes,2,2,,LC
Teagueia phasmida,Teagueia phasmida (Luer & R.Escobar) O.Gruss & M.Wolff,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Teagueia,1,2,,
Carineta urostridulens,"Carineta urostridulens Boulard, 1986",Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Carineta,2,2,,
Racinaea michelii,Racinaea michelii (Mez) M.A.Spencer & L.B.Sm.,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Racinaea,2,2,,LC
Maxillaria aggregata,Maxillaria aggregata (Kunth) Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Maxillaria,1,2,,
Leocarpus fragilis,"Leocarpus fragilis (Dicks.) Rostaf., 1874",Protozoa,Mycetozoa,Myxomycetes,Physarales,Physaraceae,Leocarpus,1,2,,
Pristimantis boulengeri,"Pristimantis boulengeri (Lynch, 1981)",Animalia,Chordata,Amphibia,Anura,Craugastoridae,Pristimantis,2,2,,LC
Tolype aroana,"Tolype aroana Schaus, 1906",Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Tolype,2,2,,
Idalus pichesensis,"Idalus coacta Dognin, 1902",Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Idalus,1,2,,
Monstera xanthospatha,Monstera xanthospatha Madison,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Monstera,2,2,,
Magneuptychia libye,"Magneuptychia libye (Linnaeus, 1767)",Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Magneuptychia,2,2,,
Acroleucus pothus,"Acroleucus pothus Breddin, 1904",Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Acroleucus,1,2,,
Tirynthia conflua,"Tirynthia conflua (Herrich-Schäffer, 1869)",Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Tirynthia,2,2,,
Euptychia insolata,"Euptychia insolata Butler & Druce, 1872",Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Euptychia,1,2,,
Macrosoma rubedinaria,"Macrosoma rubedinaria Walker, 1862",Animalia,Arthropoda,Insecta,Lepidoptera,Hedylidae,Macrosoma,1,2,,
Progomphus phyllochromus,"Progomphus phyllochromus Ris, 1918",Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Progomphus,1,2,,LC
Philydor rufum,"Dendroma rufa (Vieillot, 1818)",Animalia,Chordata,Aves,Passeriformes,Furnariidae,Philydor,2,2,,
Peperomia perciliata,Peperomia perciliata Yunck.,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,1,2,,
Nectria pseudotrichia,Nectria pseudotrichia Berk. & M.A.Curtis,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,1,2,,
Oreothraupis arremonops,"Oreothraupis arremonops (P.L.Sclater, 1855)",Animalia,Chordata,Aves,Passeriformes,Passerellidae,Oreothraupis,2,2,,LC
Dirphia avia,"Dirphia avia Cramer, 1780",Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Dirphia,1,2,,
Thripadectes flammulatus,"Thripadectes flammulatus (Eyton, 1849)",Animalia,Chordata,Aves,Passeriformes,Furnariidae,Thripadectes,2,2,,LC
Taraba major,"Taraba major (Vieillot, 1816)",Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Taraba,2,2,,LC
Ceroxylon alpinum,Ceroxylon alpinum Bonpl. ex DC.,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Ceroxylon,2,2,,EN
Eulaema nigrita,"Eulaema nigrita Lepeletier, 1841",Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Eulaema,1,2,,
Anurapteryx interlineata,"Anurapteryx interlineata Walker, 1854",Animalia,Arthropoda,Insecta,Lepidoptera,Sematuridae,Anurapteryx,1,2,,
Setophaga tigrina,"Setophaga tigrina (J.F.Gmelin, 1789)",Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,2,2,,LC
Dendrophidion bivittatus,"Dendrophidion bivittatus (Duméril, Bibron & Duméril, 1854)",Animalia,Chordata,Squamata,,Colubridae,Dendrophidion,2,2,,LC
Xylophanes vagliai,"Xylophanes vagliai Haxaire, 2003",Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Xylophanes,2,2,,
Hyptis savannarum,Hyptis savannarum Briq.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Hyptis,1,2,,
Parasa mossica,"Parasa mossica Dyar, 1926",Animalia,Arthropoda,Insecta,Lepidoptera,Limacodidae,Parasa,1,2,,
Phrygionis platinata,Phrygionis platinata (Guenée),Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Phrygionis,2,2,,
Gaultheria erecta,Gaultheria erecta Vent.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Gaultheria,2,2,,LC
Morpho helenor,"Morpho helenor Cramer, 1782",Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Morpho,2,2,,
Anolis fraseri,"Anolis fraseri Günther, 1859",Animalia,Chordata,Squamata,,Dactyloidae,Anolis,2,2,,LC
Fuchsia hirtella,Fuchsia hirtella Kunth,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Fuchsia,2,2,,
Macrodactylus tenuilineatus,"Macrodactylus tenuilineatus Guérin-Méneville, 1843",Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Macrodactylus,1,2,,
Fuchsia triphylla,Fuchsia triphylla L.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Fuchsia,1,2,,
Dichaea morrisii,Dichaea morrisii Fawc. & Rendle,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichaea,2,2,,
Thecadactylus rapicauda,"Thecadactylus rapicauda (Houttuyn, 1782)",Animalia,Chordata,Squamata,,Phyllodactylidae,Thecadactylus,1,2,,LC
Marmosops caucae,"Marmosops caucae Thomas, 1900",Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosops,1,2,,LC
Epidendrum brachypodum,Epidendrum brachypodum Hágsater,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,1,2,,
Hermeuptychia hermes,"Hermeuptychia hermes Fabricius, 1775",Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hermeuptychia,2,2,,
Lasiophila zapatoza,Lasiophila zapatoza (Westwood),Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lasiophila,2,2,,
Epidendrum laeve,Epidendrum laeve Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,2,2,,LC
Polybia occidentalis,"Polybia occidentalis (Olivier, 1791)",Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polybia,2,2,,
Zalissolepis subviolaria,"Zalissolepis subviolaria (Guenée, 1857)",Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Zalissolepis,2,2,,
Crescentia cujete,Crescentia cujete L.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Crescentia,2,2,,LC
Eretris porphyria,"Eretris porphyria (Felder, 1867)",Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Eretris,2,2,,
Cyphonia trifida,Cyphonia trifida Fabricius,Animalia,Arthropoda,Insecta,Hemiptera,Membracidae,Cyphonia,2,2,,
Anoura geoffroyi,"Anoura geoffroyi Gray, 1838",Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Anoura,2,2,,LC
Brassia euodes,Brassia euodes Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassia,1,2,,
Cookeina venezuelae,Cookeina venezuelae (Berk. & M.A.Curtis ex Cooke) Le Gal,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Cookeina,1,2,,
Opisthacanthus elatus,"Opisthacanthus elatus (Gervais, 1844)",Animalia,Arthropoda,Arachnida,Scorpiones,Hormuridae,Opisthacanthus,1,2,,
Melinodes saeta,Melinodes saeta,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Melinodes,2,2,,
Azochis curvilinealis,"Azochis curvilinealis Schaus, 1912",Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Azochis,2,2,,
Lymanopoda obsoleta,"Lymanopoda obsoleta (Westwood, 1851)",Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lymanopoda,2,2,,
Mimallo amilia,"Mimallo amilia Cramer, 1780",Animalia,Arthropoda,Insecta,Lepidoptera,Mimallonidae,Mimallo,1,2,,
Eupyra ducalis,"Eupyra ducalis Maassen, 1890",Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Eupyra,2,2,,
Galethalea wolfei,Galethalea wolfei,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Eucereon,2,2,,
Agave attenuata,Agave attenuata Salm-Dyck,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,1,2,,LC
Euphyia porraceata,"Euphyia porraceata (Snellen, 1874)",Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Euphyia,2,2,,
Aragua bistonaria,"Aragua bistonaria (Snellen, 1874)",Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Aragua,2,2,,
Cecropia hispidissima,Cecropia hispidissima Cuatrec.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Cecropia,1,2,,LC
Synnomos firmamentaria,"Synnomos firmamentaria Guenée, 1857",Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Synnomos,2,2,,
Eois escamata,"Eois escamata (Dognin, 1893)",Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eois,2,2,,
Lurocalis rufiventris,"Lurocalis rufiventris Taczanowski, 1884",Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Lurocalis,1,2,,LC
Mychonia graphica,"Mychonia graphica (Warren, 1904)",Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Mychonia,2,2,,
Sobralia gloriosa,Sobralia gloriosa Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sobralia,1,2,,
Elleanthus graminifolius,Elleanthus graminifolius (Barb.Rodr.) Løjtnant,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Elleanthus,1,2,,
Calophyllum brasiliense,Calophyllum brasiliense Cambess.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Calophyllaceae,Calophyllum,2,2,,LC
Anathallis cuspidata,Lankesteriana cuspidata (Luer) Karremans,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anathallis,2,2,,
Spathilepia clonius,"Spathilepia clonius (Cramer, 1775)",Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Spathilepia,2,2,,
Masdevallia peristeria,Masdevallia peristeria Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Masdevallia,2,2,,
Mimosa pudica,Mimosa pudica L.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,2,2,,LC
Mimosa pigra,Mimosa pigra L.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,1,2,,LC
Telipogon andicola,Telipogon andicola Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Telipogon,2,2,,
Muscarella zephyrina,Andreettaea zephyrina (Rchb.f.) A.Doucette,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Muscarella,1,2,,
Amastus persimilis,"Amastus persimilis Hampson, 1901",Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Amastus,1,2,,
Protambulyx strigilis,"Protambulyx strigilis Linnaeus, 1771",Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Protambulyx,2,2,,
Uranophora albimaculata,"Uranophora albimaculata Hampson, 1901",Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Uranophora,2,2,,
Platystele orectoglossa,Platystele orectoglossa P.Ortiz,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platystele,1,2,,
Salvia tortuosa,Salvia tortuosa Kunth,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,2,2,,
Steremnia pronophila,"Steremnia pronophila (Felder, 1867)",Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Steremnia,2,2,,
Catasticta hebra,"Catasticta hebra (Lucas, 1852)",Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Catasticta,1,2,,
Phyllomedusa venusta,"Phyllomedusa venusta Duellman & Trueb, 1967",Animalia,Chordata,Amphibia,Anura,Phyllomedusidae,Phyllomedusa,2,2,,LC
Prosthechea sima,Prosthechea sima (Dressler) W.E.Higgins,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Prosthechea,1,2,,
Ormetica guapisa,"Ormetica guapisa Schaus, 1910",Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Ormetica,1,2,,
