species,scientific_name,kingdom,phylum,class,order,family,genus,occurrence_count,image_count,municipalities,iucn_status
Senecio niveoaureus,Senecio niveoaureus Cuatrec.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,108,183,,
Begonia urticae,Begonia urticae L.fil.,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,65,117,Marulanda,
Epidendrum fimbriatum,Epidendrum fimbriatum Kunth,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,58,97,,
Thunbergia alata,Thunbergia alata Bojer ex Sims,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Thunbergia,88,94,,
Zingiber spectabile,Zingiber spectabile Griff.,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Zingiber,52,82,,DD
Gaultheria myrsinoides,Gaultheria myrsinoides Kunth,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Gaultheria,80,77,El Pindo; Marulanda; San Félix; Valle Alto; Villamaría,LC
Castilleja fissifolia,Castilleja fissifolia L.fil.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Castilleja,51,75,El Pindo; San Félix; Villamaría,
Oncidium ornithorhynchum,Oncidium ornithorhynchum Kunth,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,32,72,,
Kohleria affinis,Kohleria affinis (Fritsch) Roalson & Boggan,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Kohleria,40,71,,
Espeletia hartwegiana,Espeletia hartwegiana Cuatrec. ex Herzog,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Espeletia,107,62,El Pindo; Villamaría,
Begonia umbellata,Begonia umbellata Kunth,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,32,60,Marulanda,
Anthurium caramantae,Anthurium caramantae Engl.,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,29,58,,
Chaetogastra grossa,Chaetogastra grossa (L.fil.) P.J.F.Guim. & Michelang.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Chaetogastra,166,53,El Pindo; Marulanda; San Félix; Villamaría,LC
Ceroxylon quindiuense,Ceroxylon quindiuense (H.Karst.) H.Wendl.,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Ceroxylon,43,53,,VU
Phytolacca bogotensis,Phytolacca bogotensis Kunth,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,25,52,,
Persicaria capitata,Persicaria capitata (Buch.-Ham. ex D.Don) H.Gross,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,29,52,,
Plantago rigida,Plantago rigida Kunth,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,34,47,Marulanda,LC
Crocosmia crocosmiiflora,Crocosmia × crocosmiiflora (Lemoine) N.E.Br.,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Crocosmia,30,45,,
Kohleria spicata,Kohleria spicata (Kunth) Oerst.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Kohleria,22,44,,
Passiflora quimbayensis,Passiflora quimbayensis Ocampo & Forero,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,18,43,,
Masdevallia hortensis,Masdevallia hortensis Luer & R.Escobar,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Masdevallia,12,40,,
Callianthe megapotamica,Callianthe megapotamica (A.Spreng.) Dorr,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Callianthe,27,40,,
Passiflora apoda,Passiflora apoda Harms,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,11,39,,LC
Oncidium luteopurpureum,Oncidium luteopurpureum (Lindl.) Beer,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,20,38,,
Phytolacca rugosa,Phytolacca rugosa A.Braun & Bouché,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,15,38,,
Salvia scutellarioides,Salvia scutellarioides Kunth,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,21,38,,
Senecio formosus,Senecio formosus Kunth,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,21,37,El Pindo,
Passiflora antioquiensis,Passiflora antioquiensis H.Karst.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,13,37,,LC
Passiflora vitifolia,Passiflora vitifolia Kunth,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,7,37,,
Oncidium lehmannii,Oncidium lehmannii (Rchb.f.) M.W.Chase & N.H.Williams,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,19,36,,
Passiflora alnifolia,Passiflora alnifolia Kunth,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,8,35,,
Baccharis latifolia,Baccharis latifolia (Ruiz & Pav.) Pers.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,98,35,El Pindo; Marulanda; Villamaría,LC
Fuchsia petiolaris,Fuchsia petiolaris Kunth,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Fuchsia,63,34,El Pindo; Marulanda,
Piper peltatum,Piper peltatum L.,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,15,34,,
Guzmania multiflora,Guzmania multiflora (André) André ex Mez,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Guzmania,19,33,,
Persicaria nepalensis,Persicaria nepalensis (Meisn.) H.Gross,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,23,33,,
Columnea strigosa,Columnea strigosa Benth.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Columnea,18,33,,
Impatiens walleriana,Impatiens walleriana Hook.fil.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,21,33,,
Lepanthes dunstervilleorum,Lepanthes dunstervilleorum Foldats,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepanthes,16,33,,
Andesanthus lepidotus,Andesanthus lepidotus (Humb. & Bonpl.) P.J.F.Guim. & Michelang.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Andesanthus,153,32,,LC
Elleanthus aurantiacus,Elleanthus aurantiacus (Lindl.) Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Elleanthus,14,31,,
Juglans neotropica,Juglans neotropica Diels,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,13,31,,EN
Pleurothallis matudana,Pleurothallis matudana C.Schweinf.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallis,17,30,,
Heliconia bihai,Heliconia bihai (L.) L.,Plantae,Tracheophyta,Liliopsida,Zingiberales,Heliconiaceae,Heliconia,14,29,,
Cyrtochilum halteratum,Cyrtochilum halteratum (Lindl.) Kraenzl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,13,29,,LC
Racinaea tetrantha,Racinaea tetrantha (Ruiz & Pav.) M.A.Spencer & L.B.Sm.,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Racinaea,13,29,,
Passiflora cuspidifolia,Passiflora cuspidifolia Harms,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,4,28,,
Palicourea colorata,Palicourea colorata (Hoffmanns. ex Willd.) Delprete & J.H.Kirkbr.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Palicourea,113,27,,
Cyrtochilum scabiosum,Cyrtochilum scabiosum Rchb.f. ex Kraenzl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,11,26,,
Pleurothallis tetragona,Pleurothallis tetragona Luer & R.Escobar,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallis,8,25,,
Masdevallia picturata,Masdevallia picturata Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Masdevallia,11,25,,
Centropogon leucophyllus,Centropogon leucophyllus Gleason,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,9,25,,
Pleurothallis pulvinaris,Pleurothallis pulvinaris Luer & R.Escobar,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallis,14,24,,
Nertera granadensis,Nertera granadensis (Mutis ex L.f.) Druce,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Nertera,27,24,Marulanda; San Félix,
Passiflora tribolophylla,Passiflora tribolophylla Harms,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,7,24,,
Gentiana sedifolia,Gentiana sedifolia Kunth,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentiana,8,23,,
Gaiadendron punctatum,Gaiadendron punctatum (Ruiz & Pav.) G.Don,Plantae,Tracheophyta,Magnoliopsida,Santalales,Loranthaceae,Gaiadendron,115,23,El Pindo; Las Coles; Marulanda; San Félix; Villamaría,LC
Begonia maurandiae,Begonia maurandiae A.DC.,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,8,23,,
Trifolium repens,Trifolium repens L.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,23,23,,
Chamaedorea pinnatifrons,Chamaedorea pinnatifrons (Jacq.) Oerst.,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea,34,22,,LC
Centropogon ferrugineus,Centropogon ferrugineus (L.f.) Gleason,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,10,22,Marulanda,
Cyrtochilum annulare,Cyrtochilum annulare (Rchb.f.) Kraenzl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,15,22,,
Musa velutina,Musa velutina H.Wendl. & Drude,Plantae,Tracheophyta,Liliopsida,Zingiberales,Musaceae,Musa,15,21,,LC
Fuchsia boliviana,Fuchsia boliviana Carrière,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Fuchsia,30,21,,LC
Solanum quitoense,Solanum quitoense Lam.,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,12,21,,
Ipomoea purpurea,Ipomoea purpurea (L.) Roth,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,13,21,,
Comparettia falcata,Comparettia falcata Poepp. & Endl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Comparettia,13,21,,
Lepanthes mucronata,Lepanthes mucronata Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepanthes,15,21,,LC
Bocconia frutescens,Bocconia frutescens L.,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Bocconia,22,20,,VU
Miconia trichocalyx,Miconia trichocalyx (Pittier) Michelang. & Judd,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,1,20,,LC
Geonoma undata,Geonoma undata Klotzsch,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Geonoma,28,20,,LC
Bellucia pentamera,Bellucia pentamera Naudin,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Bellucia,241,20,,LC
Zamia imbricata,Zamia imbricata Calonje & J.Castro,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Zamia,1,20,,
Solanum vestissimum,Solanum vestissimum Dunal,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,11,19,,LC
Lepanthes tachirensis,Lepanthes tachirensis Foldats,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepanthes,8,19,,
Vallea stipularis,Vallea stipularis Mutis ex L.fil.,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Elaeocarpaceae,Vallea,51,19,El Pindo; Marulanda; San Félix; Valle Alto,LC
Asclepias curassavica,Asclepias curassavica L.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,18,19,,
Oncidium cultratum,Oncidium cultratum Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,19,19,,
Linochilus rupestris,Linochilus rupestris (Kunth) Saldivia & O.M.Vargas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Linochilus,8,19,,LC
Quercus humboldtii,Quercus humboldtii Bonpl.,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,12,19,,LC
Kefersteinia tolimensis,Kefersteinia tolimensis Schltr.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Kefersteinia,1,19,,
Erigeron chionophilus,Erigeron chionophilus Wedd.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,6,19,,
Tillandsia biflora,Tillandsia biflora Ruiz & Pav.,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,8,18,,
Renealmia cernua,Renealmia cernua (Sw. ex Roem. & Schult.) J.F.Macbr.,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Renealmia,8,18,,
Streptosolen jamesonii,Streptosolen jamesonii (Benth.) Miers,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Streptosolen,16,18,,
Lupinus alopecuroides,Lupinus alopecuroides Desr.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,11,18,Villamaría,
Rhipsalis baccifera,Rhipsalis baccifera (J.S.Muell.) Stearn,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Rhipsalis,13,18,,LC
Lepanthes pachoi,Lepanthes pachoi Luer & R.Escobar,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepanthes,6,18,,
Pleurothallis phalangifera,Pleurothallis phalangifera (C.Presl) Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallis,7,18,,
Polystichum orbiculatum,Polystichum orbiculatum (Desv.) J.Rémy & Fée,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Polystichum,12,18,,
Megaskepasma erythrochlamys,Megaskepasma erythrochlamys Lindau,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Megaskepasma,10,17,,
Caladium lindenii,Phyllotaenium lindenii André,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Caladium,55,17,,
Passiflora suberosa,Passiflora suberosa L.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,4,17,,
Epidendrum erosum,Epidendrum erosum Ames & C.Schweinf.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,10,17,,
Senecio isabelis,Senecio isabelis S.Díaz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,6,17,,
Browallia americana,Browallia americana L.,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Browallia,18,17,,
Lepanthes jardinensis,Lepanthes jardinensis Luer & R.Escobar,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepanthes,10,17,,
Passiflora linearistipula,Passiflora linearistipula L.K.Escobar,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,2,17,,
Maxillaria rhomboglossa,Maxillaria rhomboglossa (F.Lehm. & Kraenzl.) Molinari,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Maxillaria,1,17,,
Rubus nubigenus,Rubus nubigenus Kunth,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,6,17,Valle Alto,
Retrophyllum rospigliosii,Retrophyllum rospigliosii (Pilg.) C.N.Page,Plantae,Tracheophyta,Pinopsida,Pinales,Podocarpaceae,Retrophyllum,8,17,,VU
Passiflora maliformis,Passiflora maliformis L.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,3,17,,
Besleria cinnabarina,Besleria cinnabarina Fritsch,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Besleria,7,16,,
Rodriguezia lanceolata,Rodriguezia lanceolata Ruiz & Pav.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rodriguezia,7,16,,
Cyrtochilum murinum,Cyrtochilum murinum (Rchb.f.) Kraenzl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,9,16,,
Heliconia latispatha,Heliconia latispatha Benth.,Plantae,Tracheophyta,Liliopsida,Zingiberales,Heliconiaceae,Heliconia,21,16,,
Linochilus schultzii,Linochilus schultzii (Wedd.) Saldivia & O.M.Vargas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Linochilus,37,16,El Pindo; Villamaría,
Crassocephalum crepidioides,Crassocephalum crepidioides (Benth.) S.Moore,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crassocephalum,8,16,,
Kohleria warszewiczii,Kohleria warszewiczii (Regel) Hanst.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Kohleria,8,16,,
Pleroma urvilleanum,Pleroma urvilleanum (DC.) P.J.F.Guim. & Michelang.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Pleroma,9,16,,
Lepanthes gargantua,Lepanthes gargantua Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepanthes,7,16,,
Passiflora cisnana,Passiflora cisnana Harms,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,6,16,Las Coles,
Azorella multifida,Azorella multifida (Ruiz & Pav.) Pers.,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Azorella,5,16,,LC
Pachystachys lutea,Pachystachys lutea (Ruiz & Pav. ex Schult.) Nees,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Pachystachys,14,15,,
Ricinus communis,Ricinus communis L.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus,18,15,,
Phytolacca rivinoides,Phytolacca rivinoides Kunth & Bouché,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,9,15,,
Momordica charantia,Momordica charantia subsp. charantia,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Momordica,8,15,,
Pleurothallis cordata,Pleurothallis cordata (Ruiz & Pav.) Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallis,11,15,,
Miconia salicifolia,Miconia salicifolia (Bonpl. ex Naudin) Naudin,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,74,15,El Pindo; San Félix; Valle Alto; Villamaría,LC
Callianthe picta,Callianthe picta (Gillies ex Hook. & Arn.) Donnell,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Callianthe,6,15,,
Hedychium coronarium,Hedychium coronarium J.Koenig,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Hedychium,11,15,,DD
Monochaetum multiflorum,Monochaetum multiflorum (Bonpl.) Naudin,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Monochaetum,11,15,,
Fernandezia crystallina,Fernandezia crystallina (Lindl.) M.W.Chase,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Fernandezia,6,15,,
Castilleja arvensis,Castilleja arvensis Cham. & Schltdl.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Castilleja,8,15,,
Andinia pilosella,Andinia pilosella (Rchb.f.) Karremans & S.V.Uribe,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Andinia,10,15,,
Cyrtochilum divaricatum,Cyrtochilum divaricatum (Lindl.) Dalström,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,6,15,,
Linochilus eriophorus,Linochilus eriophorus (Wedd.) Saldivia & O.M.Vargas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Linochilus,8,15,,
Baccharis tricuneata,Baccharis tricuneata (L.fil.) Pers.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,40,15,El Pindo; Marulanda; San Félix; Villamaría,
Ombrophytum villamariensis,Ombrophytum villamariensis S.Guzm.-Guzm.,Plantae,Tracheophyta,Magnoliopsida,Santalales,Balanophoraceae,Ombrophytum,3,14,,
Erato vulcanica,Erato vulcanica (Klatt) H.Rob.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erato,11,14,,
Voyria tenella,Voyria tenella Guilding ex Hook.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Voyria,5,14,,
Maxillaria embreei,Maxillaria embreei Dodson,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Maxillaria,6,14,,
Palicourea angustifolia,Palicourea angustifolia Kunth,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Palicourea,11,14,,LC
Dichaea andina,Dichaea andina Alomía & Sambin,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichaea,1,14,,
Columnea ceticeps,Columnea ceticeps J.L.Clark & J.F.Sm.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Columnea,5,14,,
Acineta sulcata,Acineta sulcata Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acineta,1,14,,DD
Miconia asperrima,Miconia asperrima Triana,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,6,13,,LC
Chamaedorea linearis,Chamaedorea linearis (Ruiz & Pav.) Mart.,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea,14,13,,LC
Aphelandra runcinata,Aphelandra runcinata Klotzsch ex Nees,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Aphelandra,5,13,,
Araucaria columnaris,Araucaria columnaris (J.R.Forst.) Hook.,Plantae,Tracheophyta,Pinopsida,Pinales,Araucariaceae,Araucaria,3,13,,LC
Epidendrum posadarum,Epidendrum posadarum Hágsater,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,6,13,,
Elaphoglossum mathewsii,Elaphoglossum mathewsii (Fée) T.Moore,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Elaphoglossum,10,13,,
Maxillaria aggregata,Maxillaria aggregata (Kunth) Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Maxillaria,4,13,,
Orthrosanthus chimboracensis,Orthrosanthus chimboracensis (Kunth) Baker,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Orthrosanthus,7,13,,
Galium hypocarpium,Galium hypocarpium (L.) Endl.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,58,13,El Pindo; Marulanda; Villamaría,
Cavendishia adenophora,Cavendishia adenophora Mansf.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Cavendishia,6,13,,NT
Capsicum dimorphum,Capsicum dimorphum (Miers) Kuntze,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,3,13,,
Passiflora cumbalensis,Passiflora cumbalensis Harms,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,6,13,,
Passiflora adenopoda,Passiflora adenopoda DC.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,2,13,,
Arundina graminifolia,Arundina graminifolia (D.Don) Hochr.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arundina,9,12,,
Gunnera magnifica,Gunnera magnifica H.St.John,Plantae,Tracheophyta,Magnoliopsida,Gunnerales,Gunneraceae,Gunnera,5,12,,
Lepanthes silverstonei,Lepanthes silverstonei Luer,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepanthes,7,12,,
Epidendrum cylindrostachys,Epidendrum cylindrostachys Rchb.f. & Warsz.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,3,12,,
Chaetogastra mollis,Chaetogastra mollis (Bonpl.) DC.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Chaetogastra,10,12,,LC
Turnera subulata,Turnera subulata J.E.Sm.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Turneraceae,Turnera,7,12,,
Potentilla indica,Potentilla indica (Andrews) Th.Wolf,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,6,12,,
Equisetum bogotense,Equisetum bogotense Kunth,Plantae,Tracheophyta,Polypodiopsida,Equisetales,Equisetaceae,Equisetum,21,12,El Pindo; Marulanda,
Epidendrum melinanthum,Epidendrum melinanthum Schltr.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,5,12,,
Leuenbergeria bleo,Leuenbergeria bleo (Kunth) Lodé,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Leuenbergeria,8,12,,LC
Maxillaria lepidota,Maxillaria lepidota Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Maxillaria,5,12,,
Trifolium pratense,Trifolium pratense L.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,7,12,,LC
Oncidium mirandum,Oncidium mirandum (Rchb.f.) M.W.Chase & N.H.Williams,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,6,12,,
Passiflora alata,Passiflora alata Curtis,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,5,12,,
Fuchsia nigricans,Fuchsia nigricans Linden ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Fuchsia,6,12,,
Heliconia griggsiana,Heliconia griggsiana L.B.Sm.,Plantae,Tracheophyta,Liliopsida,Zingiberales,Heliconiaceae,Heliconia,9,12,,
Epidendrum sodiroi,Epidendrum sodiroi Schltr.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,1,12,,
Lepanthes volvox,Lepanthes volvox Luer & R.Escobar,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepanthes,6,12,,
Epidendrum bogotense,Epidendrum bogotense Schltr.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,5,12,,
Pleurothallis gracilicolumna,Pleurothallis gracilicolumna Mark Wilson,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallis,2,12,,
Poa annua,Poa annua L.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Poa,3,12,,LC
Aristolochia cordiflora,Aristolochia cordiflora Mutis ex Kunth,Plantae,Tracheophyta,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia,2,12,,
Calathea crotalifera,Calathea crotalifera S.Watson,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Calathea,8,11,,
Veronica serpyllifolia,Veronica serpyllifolia L.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,5,11,,LC
