Kingdom,Phylum,Class,Order,Family,Genus,ScientificName,CommonName,Slug,Description,ConservationStatus,IsSensitive,ThumbnailUrl
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,Colibrí jaspeado,adelomyia-melanogenys,Pequeño colibrí con plumaje verde bronceado y un patrón distintivo en la cara. Es común en los bordes de bosque húmedo y zonas montañosas de los Andes colombianos.,LC,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Adhemarius,Adhemarius sexoculata,Polilla esfinge de seis ojos,adhemarius-sexoculata,Polilla de gran tamaño con patrones crípticos en sus alas que simulan ojos para confundir depredadores. Habita en bosques tropicales y premontanos de Caldas.,NE,False,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum macrophyllum,Helecho culantrillo,adiantum-macrophyllum,Helecho caracterizado por sus frondas con pinnas grandes y de color rojizo cuando son jóvenes. Crece en suelos húmedos y sombreados de la región andina.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/111753441/original.jpg
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum raddianum,Culantrillo de pozo,adiantum-raddianum,Helecho epífito o terrestre con frondas muy divididas y delicadas. Es una especie ampliamente distribuida en zonas de ladera y cerca de fuentes de agua.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/113545222/original.jpg
Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea angustifolia,Bromelia de monte,aechmea-angustifolia,Bromelia epífita con hojas dispuestas en roseta que almacenan agua en su centro. Es fundamental para el ecosistema al albergar pequeños invertebrados y anfibios.,LC,False,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratina,Ageratina pichinchensis,Altamisa de monte,ageratina-pichinchensis,Arbusto de flores blancas pequeñas agrupadas en corimbos. Es común en zonas de regeneración natural y bordes de caminos en Caldas.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/11756234/large.jpg
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaeactis,Aglaeactis cupripennis,Colibrí cobrizo,aglaeactis-cupripennis,"Colibrí de plumaje iridiscente color cobre, adaptado a grandes altitudes. Se encuentra principalmente en los páramos y bosques altoandinos.",LC,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus coelestis,Silfo celeste,aglaiocercus-coelestis,"Colibrí notable por la cola extremadamente larga y bifurcada del macho, de color azul metálico. Habita en el sotobosque de selvas húmedas montañosas.",LC,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus kingii,Silfo colilargo,aglaiocercus-kingii,"Colibrí con una cola que puede duplicar la longitud de su cuerpo, exhibiendo colores tornasolados. Es un habitante frecuente de los bosques nublados de la cordillera central.",LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/177242930/original.jpeg
Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Aiouea,Aiouea montana,Aguacatillo de monte,aiouea-montana,"Árbol de tamaño mediano perteneciente a la familia del aguacate, con hojas aromáticas. Es una especie importante en la estructura de los bosques de niebla.",NE,False,
Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Alluaudomyia,Alluaudomyia,Jejenes picadores,alluaudomyia,Pequeños dípteros hematófagos conocidos por sus picaduras molestas en zonas rurales. Son importantes en el ecosistema como polinizadores y fuente de alimento para otros insectos.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/106812286/original.jpg
Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,Alnus acuminata,Aliso,alnus-acuminata,"Árbol nativo de los Andes colombianos, fundamental para la restauración de suelos debido a su capacidad de fijar nitrógeno. Es una especie clave en los sistemas agroforestales de Caldas.",LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/179109712/large.jpeg
Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta seniculus,Mono aullador rojo,alouatta-seniculus,Primate de gran tamaño conocido por sus vocalizaciones potentes que se escuchan a kilómetros de distancia. Habita en los bosques húmedos y premontanos del departamento.,LC,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Altinote,Altinote ozomene,Mariposa de alas largas,altinote-ozomene,Mariposa neotropical con patrones de coloración aposemática que advierten su toxicidad a depredadores. Es común en los bordes de bosque y zonas de transición en los Andes.,NE,False,
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita muscaria,Hongo matamoscas,amanita-muscaria,"Hongo icónico de color rojo con manchas blancas, asociado frecuentemente a plantaciones de pinos en zonas altas. Es conocido por sus propiedades psicoactivas y toxicidad.",LC,False,https://upload.wikimedia.org/wikipedia/commons/6/6a/Amanita_muscaria_%2849147920947%29.jpg
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Amastus,Amastus aconia,Polilla tigre,amastus-aconia,"Polilla de la subfamilia Arctiinae, caracterizada por sus colores vibrantes y hábitos nocturnos. Se encuentra en ecosistemas de alta montaña andina.",NE,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Amastus,Amastus coccinator,Polilla tigre roja,amastus-coccinator,Especie de polilla con patrones de coloración llamativos que suelen confundirse con otras especies del género Amastus. Habita en bosques nublados de la región andina.,NE,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Amastus,Amastus episcotosia,Polilla andina,amastus-episcotosia,"Polilla nocturna que habita en los ecosistemas de alta montaña, contribuyendo a la biodiversidad de insectos en los bosques de niebla de Caldas.",NE,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Amastus,Amastus thalassina,Polilla azulada,amastus-thalassina,"Polilla con tonalidades particulares en sus alas, adaptada a las condiciones climáticas de los Andes colombianos. Su ciclo de vida está estrechamente ligado a la vegetación nativa.",NE,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,Amazilia tzacatl,Colibrí colirrufo,amazilia-tzacatl,"Colibrí muy común y territorial, fácilmente identificable por su cola de color rojizo y su comportamiento agresivo en los comederos. Es un polinizador esencial en jardines y bosques de Caldas.",LC,False,
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona mercenaria,Loro verde,amazona-mercenaria,Es un loro de tamaño mediano con plumaje predominantemente verde y una banda roja en las alas. Habita principalmente en bosques nublados y zonas montañosas de los Andes colombianos.,LC,False,
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona ochrocephala,Loro real,amazona-ochrocephala,"Loro de cuerpo verde con una mancha amarilla distintiva en la frente y corona. Es una especie muy inteligente y vocal, frecuentemente asociada a zonas bajas y bosques húmedos.",LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/174611229/original.jpeg
Animalia,Chordata,Aves,Passeriformes,Icteridae,Amblycercus,Amblycercus holosericeus,Cacique piquiamarillo,amblycercus-holosericeus,Ave de plumaje negro azabache con un pico amarillo brillante y ojos claros. Suele habitar en el sotobosque denso y bordes de bosque en zonas montañosas.,LC,False,http://upload.wikimedia.org/wikipedia/commons/a/ad/Amblycercus_holosericeus.jpg
Animalia,Arthropoda,Insecta,Hemiptera,Naucoridae,Ambrysus,Ambrysus,Chinche de agua,ambrysus,Insecto acuático depredador que habita en arroyos de corriente rápida. Son bioindicadores importantes de la calidad del agua en ecosistemas lóticos.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/153545118/large.jpg
Animalia,Chordata,Aves,Passeriformes,Cotingidae,Ampelioides,Ampelioides tschudii,Cotinga escamosa,ampelioides-tschudii,Ave de tamaño mediano con un patrón de plumaje escamoso característico en su pecho. Es una especie rara y difícil de observar que habita en bosques húmedos de montaña.,LC,False,
Animalia,Chordata,Aves,Passeriformes,Cotingidae,Ampelion,Ampelion rubrocristatus,Cotinga crestirroja,ampelion-rubrocristatus,Ave andina con una cresta roja prominente y plumaje grisáceo. Se encuentra en bosques de alta montaña y es conocida por su comportamiento solitario.,LC,False,http://upload.wikimedia.org/wikipedia/commons/9/93/Ampelion_rubrocristatus_-NBII_Image_Gallery-a00278.jpg
Animalia,Chordata,Aves,Passeriformes,Cotingidae,Ampelion,Ampelion rufaxilla,Cotinga gorgirrufa,ampelion-rufaxilla,Ave de plumaje gris con una mancha de color rufo en la garganta. Habita en los estratos altos de los bosques nublados andinos.,LC,False,
Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Anacroneuria,Anacroneuria,Mosca de piedra,anacroneuria,Género de insectos plecópteros cuyas ninfas son acuáticas y requieren aguas muy oxigenadas. Son fundamentales como indicadores biológicos de la salud de los ríos en Caldas.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/865814/original.jpg
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anartia,Anartia amathea,Mariposa pavo real,anartia-amathea,"Mariposa de colores vibrantes, principalmente roja y negra con patrones blancos. Es común en jardines y áreas abiertas de zonas tropicales y subtropicales.",LC,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anartia,Anartia jatrophae,Mariposa blanca de jardín,anartia-jatrophae,Mariposa de color crema o blanco con manchas marrones y un patrón distintivo en las alas. Es una especie muy adaptable que se encuentra frecuentemente en zonas perturbadas y jardines.,LC,False,
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas andium,Pato andino,anas-andium,Pato de tamaño mediano que habita en humedales de alta montaña en los Andes. Se caracteriza por su plumaje oscuro y su comportamiento discreto en lagunas paramunas.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/176713984/original.jpg
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas discors,Pato media luna,anas-discors,Ave migratoria que visita humedales colombianos durante el invierno boreal. Presenta una mancha blanca distintiva en la cara en los machos adultos.,LC,False,https://upload.wikimedia.org/wikipedia/commons/1/1c/Anas_discors-001.jpg
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,Pato real,anas-platyrhynchos,"Especie cosmopolita introducida en diversas regiones. Es un pato de gran tamaño con dimorfismo sexual marcado, siendo el ancestro de la mayoría de patos domésticos.",LC,False,http://upload.wikimedia.org/wikipedia/commons/9/9c/Mallard_male_female.jpg
Animalia,Arthropoda,Insecta,Coleoptera,Ptilodactylidae,Anchytarsus,Anchytarsus,Escarabajo de agua,anchytarsus,Género de escarabajos cuyas larvas son acuáticas y habitan en corrientes de agua limpia. Son indicadores biológicos de la calidad del ecosistema.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/69789817/original.jpeg
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Ancognatha,Ancognatha scarabaeoides,Chisa,ancognatha-scarabaeoides,Escarabajo cuyas larvas se alimentan de raíces en suelos agrícolas. Es considerado una plaga importante en cultivos de papa y pastizales en Caldas.,NE,False,
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Ancognatha,Ancognatha vulgaris,Chisa común,ancognatha-vulgaris,Insecto coleóptero cuyas larvas viven bajo tierra afectando sistemas radiculares. Es una especie común en zonas rurales de la región andina.,NE,False,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Andesanthus,Andesanthus lepidotus,Siete cueros de monte,andesanthus-lepidotus,Arbusto o árbol pequeño característico de los bosques andinos. Posee hojas con nervaduras marcadas y flores vistosas que atraen polinizadores.,LC,False,
Animalia,Chordata,Aves,Piciformes,Ramphastidae,Andigena,Andigena hypoglauca,Tucán andino pechiazul,andigena-hypoglauca,Ave de plumaje colorido y pico robusto que habita en bosques de niebla. Es un importante dispersor de semillas en los ecosistemas de alta montaña.,NT,False,https://inaturalist-open-data.s3.amazonaws.com/photos/177039512/original.jpeg
Animalia,Chordata,Aves,Piciformes,Ramphastidae,Andigena,Andigena nigrirostris,Tucán andino piquinegro,andigena-nigrirostris,Tucán de tamaño mediano con pico negro distintivo que habita en los Andes colombianos. Se alimenta principalmente de frutos silvestres en el dosel del bosque.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/173401700/large.jpg
Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Andinia,Andinia pilosella,Orquídea andina,andinia-pilosella,Pequeña orquídea epífita que crece en bosques nublados. Sus flores son diminutas y requieren condiciones específicas de humedad y luz.,DD,False,
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Andinobates,Andinobates daleswansoni,Rana dardo de Swanson,andinobates-daleswansoni,Pequeña rana venenosa endémica de la vertiente central de los Andes colombianos. Se caracteriza por su coloración oscura con manchas amarillas o naranjas brillantes.,EN,True,
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Andinobates,Andinobates opisthomelas,Rana dardo de vientre oscuro,andinobates-opisthomelas,Anfibio pequeño con una coloración distintiva roja o naranja en el dorso y vientre oscuro. Es una especie emblemática de los bosques nublados de Caldas y Antioquia.,VU,False,https://inaturalist-open-data.s3.amazonaws.com/photos/217272610/original.jpeg
Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Aniba,Aniba perutilis,Comino crespo,aniba-perutilis,"Árbol maderable de gran valor, conocido por la calidad y belleza de su madera veteada. Es una especie nativa de los bosques andinos colombianos actualmente muy escasa.",CR,True,https://inaturalist-open-data.s3.amazonaws.com/photos/11311037/large.jpeg
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,Anisognathus igniventris,Tangara ventriroja,anisognathus-igniventris,Ave colorida con plumaje azul intenso y vientre rojo brillante. Habita en los bordes de bosque y zonas de arbustos en los Andes.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/174561595/original.jpeg
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,Anisognathus lacrymosus,Tangara lagrimosa,anisognathus-lacrymosus,Ave de montaña con plumaje azul oscuro y una mancha amarilla distintiva bajo el ojo. Es común en los bosques nublados de la cordillera central.,LC,False,
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,Anisognathus somptuosus,Tangara azuliamarilla,anisognathus-somptuosus,"Ave de plumaje espectacular que combina tonos azules, amarillos y negros. Se encuentra frecuentemente en las copas de los árboles en zonas montañosas.",LC,False,
Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona cherimola,Chirimoya,annona-cherimola,"Frutal andino de pulpa blanca, cremosa y sabor dulce muy apreciado. Es un cultivo tradicional en las zonas templadas de Caldas.",NE,False,http://upload.wikimedia.org/wikipedia/commons/d/d1/Cherimoya_tree_hg.jpg
Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona rensoniana,Anón de monte,annona-rensoniana,Especie de árbol frutal silvestre emparentada con la chirimoya. Sus frutos son comestibles pero menos comunes en el mercado masivo.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/196297612/original.jpeg
Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis antonii,Anolis de Antonio,anolis-antonii,Pequeño lagarto arborícola endémico de los Andes colombianos. Posee una papada gular distintiva utilizada en rituales de cortejo.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/178579325/original.jpg
Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis apollinaris,Anolis de Apolinar,anolis-apollinaris,Lagarto de tamaño mediano adaptado a los bosques andinos. Es una especie poco conocida con hábitos principalmente diurnos y arborícolas.,DD,False,https://inaturalist-open-data.s3.amazonaws.com/photos/110528167/original.jpeg
Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis eulaemus,Anolis de Caldas,anolis-eulaemus,"Lagarto arborícola endémico de los Andes colombianos, caracterizado por su coloración críptica. Habita principalmente en bosques nublados de la cordillera Central.",VU,False,https://inaturalist-open-data.s3.amazonaws.com/photos/178202703/original.jpeg
Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis heterodermus,Anolis de piel rugosa,anolis-heterodermus,Especie de lagarto con una textura de piel muy rugosa y capacidad de cambio de color. Es común en zonas altas y jardines de la región andina.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/172319426/large.jpg
Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis quimbaya,Anolis de los Quimbayas,anolis-quimbaya,"Pequeño lagarto endémico de la región cafetera, nombrado en honor a la cultura Quimbaya. Se encuentra en áreas boscosas y cafetales con sombra.",EN,True,
Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis ventrimaculatus,Anolis de vientre manchado,anolis-ventrimaculatus,Lagarto distinguido por las manchas características en su zona ventral. Habita en estratos bajos de la vegetación en bosques húmedos.,LC,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Anteos,Anteos clorinde,Mariposa azufre gigante,anteos-clorinde,Mariposa de gran tamaño con alas de color amarillo pálido que asemejan hojas secas. Es una especie migratoria común en zonas abiertas de Caldas.,LC,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa drusilla,Mariposa manchada,anthanassa-drusilla,Pequeña mariposa con patrones complejos de color naranja y negro en sus alas. Es frecuente en los bordes de bosque y senderos rurales.,LC,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Anthoptus,Anthoptus epictetus,Saltarín de alas oscuras,anthoptus-epictetus,"Mariposa de la familia de los hespéridos, de vuelo rápido y errático. Se encuentra en zonas de vegetación densa y sotobosque.",LC,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,Anthracothorax nigricollis,Mango gorginegro,anthracothorax-nigricollis,Colibrí de tamaño mediano con una distintiva franja negra en la garganta. Es un polinizador activo en jardines y áreas abiertas de Caldas.,LC,False,
Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium caramantae,Anturio de Caramanta,anthurium-caramantae,"Planta epífita con hojas grandes y coriáceas, endémica de la región andina. Es apreciada por su valor ornamental en colecciones botánicas.",VU,False,
Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium crystallinum,Anturio cristalino,anthurium-crystallinum,Planta de sotobosque famosa por sus hojas aterciopeladas con venas blancas plateadas. Es una de las especies más buscadas en la horticultura ornamental.,LC,False,
Animalia,Chordata,Mammalia,Primates,Aotidae,Aotus,Aotus griseimembra,Mico nocturno de manos grises,aotus-griseimembra,Pequeño primate nocturno caracterizado por sus grandes ojos adaptados a la baja luminosidad. Habita en bosques tropicales y es conocido por su comportamiento monógamo.,VU,False,
Animalia,Chordata,Mammalia,Primates,Aotidae,Aotus,Aotus lemurinus,Mico nocturno andino,aotus-lemurinus,Primate de hábitos nocturnos que habita en los bosques andinos de Colombia. Posee un pelaje denso y marcas faciales distintivas que facilitan su identificación.,VU,False,https://farm7.staticflickr.com/6001/6199616555_6c454c0224.jpg
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Apeiba,Apeiba membranacea,Peine de mico,apeiba-membranacea,Árbol de mediano porte con frutos globosos cubiertos de espinas suaves. Es común en bosques húmedos y se destaca por su rápido crecimiento en áreas de regeneración.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/150805876/large.jpg
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Aphelandra,Aphelandra runcinata,Aphelandra,aphelandra-runcinata,Planta herbácea o arbustiva con inflorescencias llamativas en espiga. Es valorada por su valor ornamental en jardines de clima templado y frío.,LC,False,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,Abeja melífera,apis-mellifera,Especie cosmopolita fundamental para la polinización de cultivos. Es la principal productora de miel y cera a nivel mundial.,NE,False,
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,Ara ararauna,Guacamaya azul y amarilla,ara-ararauna,Ave de gran tamaño con plumaje azul intenso en el dorso y amarillo en el vientre. Es una especie icónica de los bosques tropicales sudamericanos.,LC,False,https://upload.wikimedia.org/wikipedia/commons/2/2d/Ara-ararauna-0016a.jpg
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,Ara macao,Guacamaya bandera,ara-macao,"Guacamaya de colores vibrantes rojo, amarillo y azul. Es muy apreciada por su inteligencia y belleza, siendo un símbolo de la biodiversidad neotropical.",LC,False,http://upload.wikimedia.org/wikipedia/commons/1/12/Ara_macao_-Puntarenas_Province%2C_Costa_Rica-8.jpg
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,Ara severus,Guacamaya severa,ara-severus,Guacamaya de tamaño mediano con plumaje predominantemente verde y parches rojos en las alas. Es una especie social que habita en bosques húmedos y zonas abiertas.,LC,False,https://upload.wikimedia.org/wikipedia/commons/0/02/Ara_severa_-Chestnut-fronted_Macaw-two_in_aviary.jpg
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Aragoa,Aragoa occidentalis,Aragoa,aragoa-occidentalis,Arbusto endémico de los ecosistemas de alta montaña andina. Se caracteriza por sus hojas pequeñas y flores dispuestas en racimos terminales.,NT,False,https://inaturalist-open-data.s3.amazonaws.com/photos/8579620/original.jpg
Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,Araneus granadensis,Araña tejedora de jardín,araneus-granadensis,Araña tejedora de telarañas orbiculares comunes en jardines y áreas rurales. Es un controlador biológico natural de insectos voladores.,NE,False,
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,Aratinga pertinax,Perico cara sucia,aratinga-pertinax,"Es un perico de tamaño mediano con plumaje predominantemente verde y una mancha característica de color naranja o amarillo en la cara. Habita en zonas abiertas, bosques secos y áreas rurales de Colombia.",LC,False,
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacara,Psittacara wagleri,Perico frentirrojo,psittacara-wagleri,Psitácido de tamaño mediano con plumaje verde y una distintiva frente de color rojo brillante. Es común en los bosques andinos y zonas cafeteras de Caldas.,NT,False,
Plantae,Tracheophyta,Pinopsida,Pinales,Araucariaceae,Araucaria,Araucaria columnaris,Pino de Cook,araucaria-columnaris,"Conífera de porte columnar muy esbelto, originaria de Nueva Caledonia. Se utiliza frecuentemente como árbol ornamental en parques y jardines de Caldas.",LC,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Archonias,Archonias flisa,Mariposa blanca de alas negras,archonias-flisa,Mariposa de la familia Pieridae con patrones alares blancos y negros que imitan a otras especies tóxicas. Se encuentra en bosques húmedos de los Andes colombianos.,NE,False,
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba,Garza blanca,ardea-alba,"Garza de gran tamaño con plumaje completamente blanco y pico amarillo. Es una especie común en humedales, embalses y zonas arroceras de Caldas.",LC,False,http://upload.wikimedia.org/wikipedia/commons/7/7b/Great_egret_%28Ardea_alba%29_Tobago.jpg
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea cocoi,Garza morena,ardea-cocoi,"Es la garza más grande de Sudamérica, con cuello grisáceo y corona negra. Se observa ocasionalmente en cuerpos de agua de la región andina.",LC,False,http://upload.wikimedia.org/wikipedia/commons/0/0c/Ardea_cocoi.jpg
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,Argia,Caballito del diablo,argia,"Género de libélulas pequeñas y delgadas, frecuentemente de colores azules o metálicos. Habitan cerca de arroyos y fuentes de agua limpia en Caldas.",NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/151447154/original.jpg
Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope argentata,Araña de jardín plateada,argiope-argentata,Araña conocida por sus grandes redes con patrones en zigzag y su cuerpo con manchas plateadas. Es común en jardines y cultivos de la región.,NE,False,
Plantae,Tracheophyta,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia,Aristolochia cordiflora,Bejuco de estrella,aristolochia-cordiflora,"Planta trepadora con flores de formas complejas y curiosas, adaptadas a la polinización por insectos. Se encuentra en los bosques nublados de la cordillera central.",LC,False,
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,Armillaria mellea,Hongo de miel,armillaria-mellea,Hongo parásito que crece en grupos sobre madera en descomposición o árboles vivos. Es conocido por su capacidad de bioluminiscencia en el micelio.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/247136067/large.jpg
